Total Nacional;Provincias;Edad simple;Sexo;Periodo;Total
Total Nacional;03 Alicante/Alacant;59 años;Mujeres;1 de enero de 2019;12.742
Total Nacional;03 Alicante/Alacant;60 años;Hombres;1 de enero de 2019;11.932
Total Nacional;03 Alicante/Alacant;60 años;Mujeres;1 de enero de 2019;12.520
Total Nacional;03 Alicante/Alacant;61 años;Hombres;1 de enero de 2019;11.551
Total Nacional;03 Alicante/Alacant;61 años;Mujeres;1 de enero de 2019;12.329
Total Nacional;03 Alicante/Alacant;62 años;Hombres;1 de enero de 2019;10.460
Total Nacional;03 Alicante/Alacant;62 años;Mujeres;1 de enero de 2019;11.414
Total Nacional;03 Alicante/Alacant;63 años;Hombres;1 de enero de 2019;10.515
Total Nacional;03 Alicante/Alacant;63 años;Mujeres;1 de enero de 2019;11.411
Total Nacional;03 Alicante/Alacant;64 años;Hombres;1 de enero de 2019;9.879
Total Nacional;03 Alicante/Alacant;64 años;Mujeres;1 de enero de 2019;10.718
Total Nacional;03 Alicante/Alacant;65 años;Hombres;1 de enero de 2019;10.067
Total Nacional;03 Alicante/Alacant;65 años;Mujeres;1 de enero de 2019;10.856
Total Nacional;03 Alicante/Alacant;66 años;Hombres;1 de enero de 2019;10.278
Total Nacional;03 Alicante/Alacant;66 años;Mujeres;1 de enero de 2019;10.985
Total Nacional;03 Alicante/Alacant;67 años;Hombres;1 de enero de 2019;9.734
Total Nacional;03 Alicante/Alacant;67 años;Mujeres;1 de enero de 2019;10.475
Total Nacional;03 Alicante/Alacant;68 años;Hombres;1 de enero de 2019;9.402
Total Nacional;03 Alicante/Alacant;68 años;Mujeres;1 de enero de 2019;10.307
Total Nacional;03 Alicante/Alacant;69 años;Hombres;1 de enero de 2019;9.288
Total Nacional;03 Alicante/Alacant;69 años;Mujeres;1 de enero de 2019;10.641
Total Nacional;03 Alicante/Alacant;70 años;Hombres;1 de enero de 2019;10.034
Total Nacional;03 Alicante/Alacant;70 años;Mujeres;1 de enero de 2019;10.937
Total Nacional;03 Alicante/Alacant;71 años;Hombres;1 de enero de 2019;9.419
Total Nacional;03 Alicante/Alacant;71 años;Mujeres;1 de enero de 2019;10.413
Total Nacional;03 Alicante/Alacant;72 años;Hombres;1 de enero de 2019;8.829
Total Nacional;03 Alicante/Alacant;72 años;Mujeres;1 de enero de 2019;9.799
Total Nacional;03 Alicante/Alacant;73 años;Hombres;1 de enero de 2019;8.482
Total Nacional;03 Alicante/Alacant;73 años;Mujeres;1 de enero de 2019;9.598
